i,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],beta_0,beta_1,n_absent,n_present,n_subj,rho,sigma,tau_0,tau_1
Group x category[T.present] Cov,-925.626,4.999,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,441.482,2.599,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,653.861,41.606,15.716,0.0,572.314,735.407,650,30,150,150,8,0.35,175,80,15
category[T.present],50.176,9.082,5.525,0.0,32.375,67.976,650,30,150,150,8,0.35,175,80,15
Group Var,13645.784,42.512,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,1498.519,7.131,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,254.408,2.025,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,636.953,18.723,34.02,0.0,600.256,673.649,650,30,150,150,8,0.35,175,80,15
category[T.present],39.435,11.09,3.556,0.0,17.7,61.17,650,30,150,150,8,0.35,175,80,15
Group Var,2589.809,8.367,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,77.75,3.511,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,554.56,2.935,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,632.02,25.304,24.977,0.0,582.425,681.615,650,30,150,150,8,0.35,175,80,15
category[T.present],29.979,10.279,2.916,0.004,9.832,50.125,650,30,150,150,8,0.35,175,80,15
Group Var,4919.421,15.822,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,1470.215,5.423,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,439.423,2.84,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,629.444,28.081,22.415,0.0,574.406,684.481,650,30,150,150,8,0.35,175,80,15
category[T.present],39.894,10.526,3.79,0.0,19.265,60.524,650,30,150,150,8,0.35,175,80,15
Group Var,6099.85,19.102,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,-363.091,5.202,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,469.439,2.684,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,584.93,33.636,17.39,0.0,519.006,650.855,650,30,150,150,8,0.35,175,80,15
category[T.present],22.607,7.231,3.127,0.002,8.435,36.779,650,30,150,150,8,0.35,175,80,15
Group Var,8843.777,27.748,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,192.081,4.599,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,4.172,,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,663.862,35.394,18.756,0.0,594.491,733.233,650,30,150,150,8,0.35,175,80,15
category[T.present],43.315,7.279,5.951,0.0,29.048,57.582,650,30,150,150,8,0.35,175,80,15
Group Var,9820.347,31.132,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,450.579,6.134,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,20.675,3.654,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,580.851,12.985,44.733,0.0,555.401,606.301,650,30,150,150,8,0.35,175,80,15
category[T.present],32.398,13.936,2.325,0.02,5.085,59.711,650,30,150,150,8,0.35,175,80,15
Group Var,1144.539,4.122,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,761.335,3.348,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,1144.941,4.749,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,636.646,32.904,19.348,0.0,572.154,701.137,650,30,150,150,8,0.35,175,80,15
category[T.present],22.875,10.621,2.154,0.031,2.059,43.691,650,30,150,150,8,0.35,175,80,15
Group Var,8454.8,26.325,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,-304.616,6.1,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,488.796,2.743,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,600.876,28.146,21.348,0.0,545.71,656.042,650,30,150,150,8,0.35,175,80,15
category[T.present],20.855,11.025,1.892,0.059,-0.754,42.464,650,30,150,150,8,0.35,175,80,15
Group Var,6144.051,20.091,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,1896.054,7.012,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,585.125,3.74,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,686.415,18.467,37.17,0.0,650.221,722.609,650,30,150,150,8,0.35,175,80,15
category[T.present],41.669,8.951,4.655,0.0,24.124,59.213,650,30,150,150,8,0.35,175,80,15
Group Var,2528.13,8.431,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,-697.841,3.491,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,240.963,1.981,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,651.201,24.942,26.109,0.0,602.316,700.086,650,30,150,150,8,0.35,175,80,15
category[T.present],24.884,11.143,2.233,0.026,3.043,46.724,650,30,150,150,8,0.35,175,80,15
Group Var,4782.306,15.609,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,1082.942,5.302,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,604.369,3.113,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,620.893,25.335,24.507,0.0,571.237,670.549,650,30,150,150,8,0.35,175,80,15
category[T.present],36.045,8.392,4.295,0.0,19.598,52.492,650,30,150,150,8,0.35,175,80,15
Group Var,4933.507,15.831,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,-443.025,3.96,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,160.449,1.736,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,633.171,17.375,36.442,0.0,599.116,667.225,650,30,150,150,8,0.35,175,80,15
category[T.present],27.956,8.851,3.159,0.002,10.609,45.303,650,30,150,150,8,0.35,175,80,15
Group Var,2207.135,7.325,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,531.986,2.724,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,210.748,1.9,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,629.581,40.652,15.487,0.0,549.904,709.258,650,30,150,150,8,0.35,175,80,15
category[T.present],22.346,10.551,2.118,0.034,1.666,43.026,650,30,150,150,8,0.35,175,80,15
Group Var,13013.18,40.095,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,2187.833,8.489,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,475.215,2.701,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,621.363,27.085,22.941,0.0,568.277,674.448,650,30,150,150,8,0.35,175,80,15
category[T.present],42.28,12.417,3.405,0.001,17.942,66.617,650,30,150,150,8,0.35,175,80,15
Group Var,5662.324,17.855,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,-104.916,5.818,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,820.483,3.752,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,618.244,30.277,20.419,0.0,558.902,677.587,650,30,150,150,8,0.35,175,80,15
category[T.present],25.977,8.357,3.109,0.002,9.599,42.356,650,30,150,150,8,0.35,175,80,15
Group Var,7122.715,22.163,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,985.935,4.989,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,136.476,2.095,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,647.219,26.443,24.476,0.0,595.39,699.047,650,30,150,150,8,0.35,175,80,15
category[T.present],36.569,8.962,4.08,0.0,19.003,54.135,650,30,150,150,8,0.35,175,80,15
Group Var,5393.569,17.269,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,628.074,4.237,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,241.656,1.984,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,625.654,30.109,20.779,0.0,566.641,684.668,650,30,150,150,8,0.35,175,80,15
category[T.present],23.579,12.281,1.92,0.055,-0.492,47.65,650,30,150,150,8,0.35,175,80,15
Group Var,7052.181,22.399,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,974.525,6.667,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,805.737,3.724,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,663.242,43.06,15.403,0.0,578.846,747.638,650,30,150,150,8,0.35,175,80,15
category[T.present],19.07,7.324,2.604,0.009,4.715,33.425,650,30,150,150,8,0.35,175,80,15
Group Var,14621.195,45.008,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,273.69,6.425,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,5.123,,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,671.007,16.28,41.217,0.0,639.099,702.915,650,30,150,150,8,0.35,175,80,15
category[T.present],33.384,12.82,2.604,0.009,8.256,58.511,650,30,150,150,8,0.35,175,80,15
Group Var,1917.759,6.514,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,19.539,3.643,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,909.833,4.037,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,591.57,26.817,22.059,0.0,539.009,644.131,650,30,150,150,8,0.35,175,80,15
category[T.present],41.841,8.427,4.965,0.0,25.324,58.358,650,30,150,150,8,0.35,175,80,15
Group Var,5550.923,17.673,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,-52.429,3.96,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,163.188,1.745,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,597.273,28.915,20.656,0.0,540.6,653.945,650,30,150,150,8,0.35,175,80,15
category[T.present],21.654,7.542,2.871,0.004,6.872,36.437,650,30,150,150,8,0.35,175,80,15
Group Var,6478.484,18.243,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,167.633,5.463,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,34.796,,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,576.15,22.907,25.152,0.0,531.253,621.047,650,30,150,150,8,0.35,175,80,15
category[T.present],19.962,11.011,1.813,0.07,-1.62,41.544,650,30,150,150,8,0.35,175,80,15
Group Var,3996.945,12.948,,,,,650,30,150,150,8,0.35,175,80,15
Group x category[T.present] Cov,133.332,4.397,,,,,650,30,150,150,8,0.35,175,80,15
category[T.present] Var,568.182,2.991,,,,,650,30,150,150,8,0.35,175,80,15
Intercept,637.636,31.009,20.563,0.0,576.859,698.413,650,30,150,150,9,0.35,175,80,15
category[T.present],26.122,8.244,3.169,0.002,9.964,42.279,650,30,150,150,9,0.35,175,80,15
Group Var,8448.795,24.687,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,890.932,4.836,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,200.768,1.744,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,558.841,24.335,22.964,0.0,511.144,606.537,650,30,150,150,9,0.35,175,80,15
category[T.present],35.62,8.733,4.079,0.0,18.504,52.735,650,30,150,150,9,0.35,175,80,15
Group Var,5130.631,15.453,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,364.249,3.927,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,287.811,1.987,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,663.7,30.696,21.622,0.0,603.537,723.864,650,30,150,150,9,0.35,175,80,15
category[T.present],23.775,11.28,2.108,0.035,1.666,45.883,650,30,150,150,9,0.35,175,80,15
Group Var,8268.71,23.833,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,880.772,6.324,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,721.852,3.218,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,633.99,26.929,23.543,0.0,581.21,686.771,650,30,150,150,9,0.35,175,80,15
category[T.present],24.465,6.748,3.625,0.0,11.238,37.692,650,30,150,150,9,0.35,175,80,15
Group Var,6323.155,18.092,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-45.758,4.931,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,2.8,,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,709.422,15.041,47.167,0.0,679.943,738.901,650,30,150,150,9,0.35,175,80,15
category[T.present],40.281,12.722,3.166,0.002,15.346,65.216,650,30,150,150,9,0.35,175,80,15
Group Var,1839.321,5.936,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,249.318,3.547,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,1063.402,4.249,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,643.21,26.612,24.17,0.0,591.052,695.369,650,30,150,150,9,0.35,175,80,15
category[T.present],23.795,13.368,1.78,0.075,-2.405,49.995,650,30,150,150,9,0.35,175,80,15
Group Var,6178.271,18.637,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-1225.738,7.236,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,1217.166,4.703,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,657.769,35.869,18.338,0.0,587.466,728.071,650,30,150,150,9,0.35,175,80,15
category[T.present],26.219,9.982,2.627,0.009,6.655,45.784,650,30,150,150,9,0.35,175,80,15
Group Var,11374.443,33.066,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,1022.472,6.703,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,486.583,2.56,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,599.534,27.564,21.751,0.0,545.509,653.558,650,30,150,150,9,0.35,175,80,15
category[T.present],37.56,9.95,3.775,0.0,18.058,57.062,650,30,150,150,9,0.35,175,80,15
Group Var,6630.855,19.428,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,252.945,4.952,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,476.8,2.531,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,630.874,26.603,23.715,0.0,578.733,683.014,650,30,150,150,9,0.35,175,80,15
category[T.present],29.402,8.304,3.541,0.0,13.126,45.678,650,30,150,150,9,0.35,175,80,15
Group Var,6170.441,23.982,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-736.558,6.57,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,222.804,,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,665.82,24.252,27.454,0.0,618.286,713.354,650,30,150,150,9,0.35,175,80,15
category[T.present],13.827,9.588,1.442,0.149,-4.965,32.618,650,30,150,150,9,0.35,175,80,15
Group Var,5084.87,14.99,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-501.46,4.419,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,409.825,2.342,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,615.677,32.283,19.071,0.0,552.404,678.951,650,30,150,150,9,0.35,175,80,15
category[T.present],24.542,6.969,3.521,0.0,10.883,38.202,650,30,150,150,9,0.35,175,80,15
Group Var,9172.81,26.678,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-462.966,4.478,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,23.367,1.369,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,624.941,22.803,27.406,0.0,580.247,669.635,650,30,150,150,9,0.35,175,80,15
category[T.present],38.092,8.725,4.366,0.0,20.991,55.193,650,30,150,150,9,0.35,175,80,15
Group Var,4478.55,13.487,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,180.514,3.643,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,282.317,1.974,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,610.226,23.672,25.778,0.0,563.829,656.622,650,30,150,150,9,0.35,175,80,15
category[T.present],35.264,7.904,4.461,0.0,19.772,50.756,650,30,150,150,9,0.35,175,80,15
Group Var,4840.525,14.518,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,870.67,3.762,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,156.614,1.717,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,652.941,18.467,35.358,0.0,616.747,689.135,650,30,150,150,9,0.35,175,80,15
category[T.present],37.012,9.499,3.896,0.0,18.393,55.63,650,30,150,150,9,0.35,175,80,15
Group Var,2855.549,8.592,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-3.689,3.149,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,384.837,2.272,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,628.59,12.545,50.106,0.0,604.001,653.178,650,30,150,150,9,0.35,175,80,15
category[T.present],46.692,8.509,5.487,0.0,30.014,63.37,650,30,150,150,9,0.35,175,80,15
Group Var,1208.201,4.14,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,500.75,2.604,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,235.178,4.042,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,599.35,20.366,29.429,0.0,559.434,639.266,650,30,150,150,9,0.35,175,80,15
category[T.present],20.777,7.03,2.955,0.003,6.998,34.557,650,30,150,150,9,0.35,175,80,15
Group Var,3530.611,10.744,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,376.984,2.699,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,40.253,1.341,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,650.63,21.971,29.613,0.0,607.568,693.692,650,30,150,150,9,0.35,175,80,15
category[T.present],23.113,7.635,3.027,0.002,8.149,38.078,650,30,150,150,9,0.35,175,80,15
Group Var,4139.141,12.397,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-468.628,3.333,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,114.026,1.497,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,651.035,26.056,24.986,0.0,599.966,702.104,650,30,150,150,9,0.35,175,80,15
category[T.present],42.336,9.314,4.545,0.0,24.08,60.592,650,30,150,150,9,0.35,175,80,15
Group Var,5917.862,18.015,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,385.527,4.563,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,395.851,2.301,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,658.217,31.71,20.757,0.0,596.066,720.367,650,30,150,150,9,0.35,175,80,15
category[T.present],32.019,9.566,3.347,0.001,13.269,50.769,650,30,150,150,9,0.35,175,80,15
Group Var,8839.75,25.535,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,667.871,5.515,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,403.65,2.324,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,621.898,25.229,24.65,0.0,572.451,671.346,650,30,150,150,9,0.35,175,80,15
category[T.present],36.299,8.955,4.054,0.0,18.749,53.85,650,30,150,150,9,0.35,175,80,15
Group Var,5523.821,16.381,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,758.263,4.254,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,312.539,2.063,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,613.814,18.611,32.981,0.0,577.337,650.291,650,30,150,150,9,0.35,175,80,15
category[T.present],21.207,7.885,2.689,0.007,5.752,36.661,650,30,150,150,9,0.35,175,80,15
Group Var,2913.578,8.932,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,606.119,2.793,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,151.988,1.602,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,618.636,38.651,16.006,0.0,542.882,694.39,650,30,150,150,9,0.35,175,80,15
category[T.present],20.418,10.68,1.912,0.056,-0.514,41.35,650,30,150,150,9,0.35,175,80,15
Group Var,13240.756,38.469,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-32.852,7.522,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,618.108,2.938,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,633.189,25.925,24.423,0.0,582.376,684.002,650,30,150,150,9,0.35,175,80,15
category[T.present],38.919,7.772,5.008,0.0,23.686,54.153,650,30,150,150,9,0.35,175,80,15
Group Var,5848.976,17.538,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,915.468,4.124,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,143.292,1.726,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,639.414,39.606,16.144,0.0,561.788,717.041,650,30,150,150,9,0.35,175,80,15
category[T.present],30.67,6.8,4.51,0.0,17.342,43.998,650,30,150,150,9,0.35,175,80,15
Group Var,13909.641,40.45,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,15.852,5.962,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,0.018,,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,674.261,16.769,40.208,0.0,641.394,707.128,650,30,150,150,9,0.35,175,80,15
category[T.present],29.859,6.95,4.296,0.0,16.237,43.481,650,30,150,150,9,0.35,175,80,15
Group Var,2325.42,6.514,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,79.159,2.379,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,23.788,1.879,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,639.085,19.046,33.556,0.0,601.756,676.413,650,30,150,150,9,0.35,175,80,15
category[T.present],43.479,8.958,4.854,0.0,25.921,61.036,650,30,150,150,9,0.35,175,80,15
Group Var,3069.645,9.57,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-134.135,3.249,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,332.345,2.115,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,593.754,17.056,34.813,0.0,560.325,627.182,650,30,150,150,9,0.35,175,80,15
category[T.present],36.505,12.723,2.869,0.004,11.568,61.442,650,30,150,150,9,0.35,175,80,15
Group Var,2423.768,7.922,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,1609.137,5.177,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,1068.304,4.989,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,611.409,27.092,22.568,0.0,558.31,664.508,650,30,150,150,9,0.35,175,80,15
category[T.present],36.856,9.572,3.85,0.0,18.094,55.617,650,30,150,150,9,0.35,175,80,15
Group Var,6401.473,19.5,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,1631.902,8.163,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,416.015,10.112,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,630.887,33.341,18.922,0.0,565.54,696.235,650,30,150,150,9,0.35,175,80,15
category[T.present],34.318,10.718,3.202,0.001,13.311,55.326,650,30,150,150,9,0.35,175,80,15
Group Var,9797.965,28.455,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,612.33,6.51,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,620.646,2.941,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,588.571,20.107,29.272,0.0,549.162,627.98,650,30,150,150,9,0.35,175,80,15
category[T.present],33.235,12.45,2.67,0.008,8.834,57.635,650,30,150,150,9,0.35,175,80,15
Group Var,3429.015,10.281,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-303.066,4.609,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,975.619,3.939,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,556.788,17.603,31.63,0.0,522.286,591.29,650,30,150,150,9,0.35,175,80,15
category[T.present],35.1,8.839,3.971,0.0,17.777,52.424,650,30,150,150,9,0.35,175,80,15
Group Var,2582.626,7.943,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,754.325,3.024,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,290.587,2.001,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,619.902,13.93,44.502,0.0,592.6,647.203,650,30,150,150,9,0.35,175,80,15
category[T.present],44.555,9.84,4.528,0.0,25.27,63.841,650,30,150,150,9,0.35,175,80,15
Group Var,1542.56,5.003,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,125.105,2.5,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,463.885,2.497,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,586.239,18.064,32.454,0.0,550.835,621.644,650,30,150,150,9,0.35,175,80,15
category[T.present],27.294,7.733,3.53,0.0,12.137,42.45,650,30,150,150,9,0.35,175,80,15
Group Var,2732.842,5.834,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-160.06,2.469,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,130.402,5.841,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,647.224,19.78,32.721,0.0,608.456,685.993,650,30,150,150,9,0.35,175,80,15
category[T.present],28.484,7.168,3.974,0.0,14.434,42.534,650,30,150,150,9,0.35,175,80,15
Group Var,3309.941,9.901,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,323.13,2.544,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,39.791,1.301,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,690.75,30.535,22.622,0.0,630.903,750.598,650,30,150,150,9,0.35,175,80,15
category[T.present],38.544,7.138,5.4,0.0,24.553,52.534,650,30,150,150,9,0.35,175,80,15
Group Var,8189.45,25.024,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,669.147,7.264,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,54.675,,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,640.466,29.519,21.697,0.0,582.609,698.323,650,30,150,150,9,0.35,175,80,15
category[T.present],16.571,10.553,1.57,0.116,-4.113,37.256,650,30,150,150,9,0.35,175,80,15
Group Var,7636.056,22.331,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-770.887,5.972,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,589.531,2.854,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,630.323,17.385,36.257,0.0,596.25,664.397,650,30,150,150,9,0.35,175,80,15
category[T.present],18.523,11.682,1.586,0.113,-4.374,41.42,650,30,150,150,9,0.35,175,80,15
Group Var,2509.561,7.671,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-361.279,3.814,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,807.292,3.461,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,663.308,29.887,22.194,0.0,604.731,721.886,650,30,150,150,9,0.35,175,80,15
category[T.present],37.19,6.614,5.623,0.0,24.227,50.153,650,30,150,150,9,0.35,175,80,15
Group Var,7843.066,23.442,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-110.916,,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,1.569,,,,,,650,30,150,150,9,0.35,175,80,15
Intercept,635.646,24.093,26.383,0.0,588.424,682.868,650,30,150,150,9,0.35,175,80,15
category[T.present],43.317,8.605,5.034,0.0,26.452,60.182,650,30,150,150,9,0.35,175,80,15
Group Var,5013.658,14.717,,,,,650,30,150,150,9,0.35,175,80,15
Group x category[T.present] Cov,-854.031,4.276,,,,,650,30,150,150,9,0.35,175,80,15
category[T.present] Var,244.828,1.877,,,,,650,30,150,150,9,0.35,175,80,15
